#radius	density	bulk	shear	grav
3480	10932	942.25	0	10.6823
3480	5561	458.1667	293.3	10.6532
3500	5561	458.1667	293.3	10.6532
3550	5544	450.2	290.7	10.5204
3600	5519	450.2	290.7	10.5204
3630	5499	447.9333	289.9	10.4844
3700	5474	437.5667	285.5	10.4066
3750	5444	423.2333	279.4	10.3095
3800	5419	423.2333	279.4	10.3095
3850	5394	409.4333	273.4	10.2272
3900	5370	409.4333	273.4	10.2272
3950	5345	396.0667	267.5	10.158
4000	5320	396.0667	267.5	10.158
4050	5295	383.0333	261.7	10.1006
4100	5270	383.0333	261.7	10.1006
4150	5245	370.3	255.9	10.0535
4200	5220	370.3	255.9	10.0535
4250	5195	357.8	250.2	10.0156
4300	5169	357.8	250.2	10.0156
4350	5144	345.5	244.5	9.9859
4400	5119	345.5	244.5	9.9859
4450	5093	333.3	238.8	9.9635
4500	5068	333.3	238.8	9.9635
4550	5042	321.2	233.1	9.9474
4600	5022	321.2	233.1	9.9474
4650	4990	309.1667	227.3	9.9369
4700	4964	309.1667	227.3	9.9369
4800	4924	297.1333	221.5	9.9314
4900	4871	285	215.7	9.9301
5000	4817	272.9333	209.8	9.9326
5100	4762	260.6667	203.9	9.9383
5200	4707	248.3667	197.9	9.9467
5300	4650	235.9333	191.8	9.9573
5400	4592	223.3667	185.6	9.9698
5500	4534	210.7	179.4	9.9836
5600	4474	197.9667	173	9.9985
5650	4428	197.4333	163.9	10.0063
5701	4397	196.7	154.8	10.0143
5736	3988	170.7	122.4	10.0088
5771	3980	168.2333	121	10.0038
5821	3944	158	112.8	9.9965
5871	3881	148.0333	105.1	9.9883
5921	3818	138.5667	97.7	9.979
5971	3755	129.5	90.6	9.9686
6016	3530	115.5333	79	9.9522
6061	3503	111.4667	77.3	9.9361
6106	3476	107.4333	75.7	9.9203
6151	3449	103.5	74.1	9.9048
6186	3356	83.8	66	9.8911
6221	3365	84.36667	66.5	9.8783
6256	3369	84.9	66.9	9.8664
6291	3372	85.36667	67.4	9.8553
6311	3376	85.56667	67.7	9.8493
6331	3378	85.76667	68	9.8437
6346	3380	86.03333	68.2	9.8394
6356	2900	45.9	44.1	9.8332
6369	2600	34.3	26.6	9.8222
6371	2600	34.26667	26.6	9.8156
